score,title,date,text
8/10,Barbie Is A Weirdly Fun Movie!,07 2023,"8.5/10 While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly."
6/10,"Brilliant observations, but social depth is missing",07 2023,Warning: Spoilers
5/10,Somewhat of a Jumbled Mess,07 2023,Warning: Spoilers
8/10,Fun and surprisingly touching,07 2023,"I was honestly doubting this movie at first, but surprisingly I find myself really liking it quite a lot."
9/10,A Technicolor Dream,07 2023,Warning: Spoilers
6/10,Strong Start... and That's It,07 2023,"I walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea."""
8/10,You are Kenough,07 2023,"This movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head."
6/10,OVERHYPED,08 2023,"This is a movie that was way overhyped. Everyone kept saying it was so amazing, but when I finally go to watch it, it was not at all what I thought it was going to be. The storyline was not good. It was a basic and corny storyline, in my opinion."
3/10,Disappointing: terribly preachy and horrendous script. Great cast.,08 2023,"Margot Robbie and Ryan Gosling are really great in their roles of Barbie and Kent. Gosling is specially hilarious. I expected a funny, cool, deep and entertaining movie, but I was highly disappointed. The movie is so terribly preachy that ends being an embarrassment. We (the audience) have brains, so, please, preach somewhere else. Furthermore, this is a movie to divide, not to unite. And I'm a woman. The script of the movie is horrendous and the direction is plain bad. There are some great actresses that have too little to say, like Emma Mackey, and that's a pity. Overall: a huge disappointment and a missed opportunity. 3/10 (1 point for Margot Robbie, 1 point for Ryan Gosling, and 1 point for the art direction (super tacky and pinky, as Barbie's world)."
10/10,Ken out of ten,07 2023,"Wow. I did not see this masterpiece coming. And that's not a joke. Somehow, Greta Gerwig took Barbie, and made a movie that tackles some really tough social issues....well? It's crazy. But wow, does it work. The story is very mature, thinker of a plot. Once you're done laughing your butt off, you'll get really emotional. The production design is so on point. The whole movie is pink everything, but it's never polarizing. All the shades melt together in a very pleasing way. And of course the cast! Margot Robbie was born to play Barbie, and she hits a home run, but Ryan Gosling. This dude rocks as Ken. He knocked it all the way around the world and hit himself in the back of the head. He steals every scene he's in, and I would be so on board with a Ken spin-off. America Ferrara and Simu Liu are also great in their respective roles, but the cast overall is just perfect. Overall, Barbie is probably the best movie based off a toy (sorry LEGO Movies) and an overall fantastic time at the movies."
5/10,Not what I Expected,08 2023,"I played with barbies a lot as a kid, so I thought this movie was going to be fun. The trailer looked great, I thought, why not, let's have a girls movie night, kick back relax, watch a funny iconic movie about my favorite toys as a kid. But I was greatly let down really fast. The movie was all about a strong message of what a woman is, what a man is, how the world defines those roles and how we should just be whoever we are. There was nothing in the movie that made me laugh. It all felt kinda heavy with the message they were telling. It's definitely not a kids movie either, I don't think they would understand half of it. Really wasn't happy with the movie."
10/10,An Amazingly Perfect Blend Of Social Satire & Fun,08 2023,"For a film like ""Barbie"" to succeed, every aspect had to come together perfectly. It needed to consummately balance satire with fun, the casting had to be spot-on, and the writing/directing required to pull off such a feat would need to be exquisite. Somewhat remarkably, that is exactly what writer/director Greta Gerwig pulls off here to create the best movie of summer 2023."
6/10,It could have been so much better...,07 2023,"The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken."
10/10,The best version of itself,07 2023,"Barbie is everything expected of it and so much more, a self aware and meta comedy made for fans and newcomers alike that's also incredibly profound, layered and really funny. It's the best version of itself and just immensely satisfying that the Barbie movie that got made on this scale is so weird and unique."
6/10,"Amazing Cast & Set, but the political message was too strong",07 2023,Warning: Spoilers
8/10,"""Barbie"" - A Multifaceted Exploration of Femininity, Consumerism, and Existentialism",07 2023,I got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.
4/10,"Funny and sharp first half, boring and baffling second one",07 2023,"I had great expectations for the Barbie movie, mainly because of the writers (Greta Gerwig and Noah Baumbach) and the stellar cast with Margot Robbie and Ryan Gosling leading the way. Unfortunately I found myself disappointed, bored and shocked by some messages the movie tries to convey."
9/10,"Now I am become Barbie Girl, the enjoyer of Barbie worlds",07 2023,"I have been waiting for this to release for so long and I finally got to watch it today. I absolutely loved it! It was fun, it had Margot Robbie (and extra stuff for Tarantino's out there if you know what I mean) And it had some absolute bangers! What more could you want from a new summer classic?"
4/10,A triumph of marketing for a poorly realised story,08 2023,It's weird seeing a movie that puts gay male culture front and centre of a lesbian-free world.
9/10,I don't see how it was preachy,08 2023,"In this day and age with society overall becoming more and more polarized and our leaders around the world doing nothing to improve dialogue, it seems that people became broken records. Now everything in the movies and TV shows is perceived as preachy, not everything is a conspiracy, people need to consider that movies and TV shows at its core, and specially the good ones, are about sharing perspectives and allow the audience, if their minds are opened to it, to acknowledge all sides of the stories."
6/10,Good...not great,07 2023,"""Barbie"" is a movie that is setting all sorts of records, so it's obvious that the film is touching many people. For some, it's the fun of seeing a doll come to life, for others it's the theme of empowerment that make the movie a big hit. As for me, I did like it and thought it was a pretty good movie...but it's not for everyone."
8/10,not for everyone,07 2023,"This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already."
6/10,No Direction,07 2023,"The movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating."
8/10,I am Kenough,07 2023,So I went into the movie with little to no expectations and I was pleasantly impressed with the movie overall.
6/10,Didn't hit my pink spot,07 2023,Warning: Spoilers
4/10,Preacher Barbie?,08 2023,"I believe I came to this movie with an open mind. In my opinion a movie balled Barbie needs to be a comedy. And while there were pieces here and there that were funny, for the most part we (and everyone in the theater) only laughed occasionally. The production design and costumes are great. The screenplay is the weakest part. The direction is next weakest. And those two caused a great cast to overact. When this movie takes itself seriously it gets tedious. It's preachy. We are constantly being told what we are seeing and what we should think about what we are thinking. This is not engaging. Why can't we think for ourselves based on what we see? I hated being treated like a ten year old and being spoonfed the morals, thoughts and feelings. But then maybe the target audience is ten-year-olds. In any event, I thought it would never end. By the time they were talking about ordinary Barbie, all I could think was ""Sanctimonious Barbie."""
8/10,"It's like G.I Joe...For girls! Seriously, and I love it for that!",07 2023,"I mean, Margo Robbie as Barbie just made perfect sense, but I really wanted to see the movie when I herd that Ryian Gosling was going to be Ken, I just thought that would be hilarious and I was right!"
4/10,This movie tries to be too much,07 2023,I wanted to like it. But I just didn't. The story wasn't very compelling to me because it seemed as if the entire point of much of the movie was to provide learning moments for viewers with some slapstick comedy and quick-delivery comedy. The story itself should nearly always be more important.
6/10,serious Barbie,07 2023,"BARBIE (2023) Greetings again from the darkness. A reasonable assumption could be made that a movie based on a doll so popular with pre-adolescent girls would be geared towards that audience. However, this is the era of comic book movies targeting ""grown-ups"", and since we know, based on her previous work (the exceptional LADY BIRD, 2017), Greta Gerwig is an intelligent filmmaker, a more reasonable assumption is that she purposefully aimed the movie at women who once played with Barbie dolls and now fill their days with work, family, and adulting. This strategy has proven to be box office gold, and the heavy dose of cosplay at screenings proves the lasting impact this plastic doll has had on many women who lined up for tickets."
6/10,Misleading.,07 2023,Warning: Spoilers
8/10,A sheer pleasure to watch.,08 2023,Barbie (2023) -
6/10,Excellent marketing team.,09 2023,They really did some fantastic marketing with this movie.
5/10,"A trite, divisive and most likely futile battle of the sexes",08 2023,"The big summer blockbuster of 2023 is a wonderful visual spectacle with a great deal of creative physical comedy, centered in and around the universe of Barbie, Mattel's historic toy doll. Unfortunately, the film tries to be and do much more than what the filmmakers ultimately are able to control and reel in. That a movie about Barbie would be guilty of Americanization is no surprise, and in many ways more than befitting, but the Americanization here isn't just about the history of the toy itself and all its cultural impacts - Barbie also views everything through the eyes of Hollywood anno 2023 - which arguably is a very particular and perhaps not that representative outlook. Instead of utilizing the fine foundation laid in the film's first third, director and co-writer Greta Gervig (Lady Bird, Little Women) gets herself lost in a trite, divisive and most likely futile battle of the sexes, which will leave youths - and perhaps particularly Europeans - feeling confused and conflicted. The filmmakers' supposed toying with stereotypes ultimately becomes more of a playing into them, especially towards the end when Gerwig staggers along desperately looking for closure and something meaningful to say. Alas, Barbie has ended up as a rather sad symptom of our times, when it could have been the wonderfully funny piece of femininity-appraising escapism it started out as. There are nonetheless several highlights here, such as the delightfully absurd opening sequence (a fine nod to Kubrick's 2001), the initial introduction of Barbie and Ken's days in Barbieland, and - of course - their first encounter with the real world."
6/10,Kenough,09 2023,"Movies are odd sometimes. In this case, I feel like the review I would have written the second the credits rolled would've been more positive than the one I'm watching now, a couple of hours later. But, as I've had time to sit with this one, I can't help but feel my opinion on it... Diminishing."
4/10,Margot Robbie & Ryan Gosling's performances bolster a film with messaging that is heavy-handed and bordering on exhaustingly preachy most of the time,09 2023,Warning: Spoilers
10/10,What A Film! I Was Ecstatic About Seeing Barbie And It Definitely Exceeded My Expectations By Far.,07 2023,"What a film! I was ecstatic about seeing Barbie and it definitely exceeded my expectations by far. As much as I was excited, I was a bit scared that the stakes were too high; after all Barbie is an icon and a part of so many people's childhood. For a film like this it's very easy to create something corny, disappointing, or unappealing to viewers. I'm so glad that Gretta Gerwig stepped up to the plate and created an absolute masterpiece."
8/10,Surprisingly good,07 2023,"I think part of my brain rejects this for being a feature-length toy commercial, but it's a very small part of my brain (and that really wasn't where my mind was for the majority of the movie)."
6/10,Not so unique as expected,07 2023,The concept of a Barbie movie is really unique and got me all exited. But unfortunately to me it delivers the same messages that we keep hearing as of lately.
10/10,Am totally speechless by what just happened here,09 2023,"No way on earth this was possible but that's the thing it was possible that the actual barbie movie was so inspiring that I just had to make it the movie of my month despite all odds there's like no way I'm hell that it would surprise any one all the hype worth it all the praise worth it and behold all the stars worth it everything barbie is just golden sorry platinum just to be precised in my opinion, it's like am the only one who feels this way but thinking about how awesome all the connections sums up it's just so magical from the story to the history infact just see this movie. Am a feminist so that's all thee more reason."
6/10,A real mixed bag,08 2023,"BARBIE is a film I find incredibly difficult to both review and rate. On the face of it, the trappings are pitiful and the tone is all over the place. The audience I saw it with were laughing at the dumbest jokes imaginable (like Gosling bouncing off the plastic wave) and missing all of the depth, which is what I personally found appealing. It's very hard to take such a tongue-in-cheek approach seriously, but then you could argue that it's deliberately bad, deliberately plasticky. Not that that excuses the bad acting from the likes of Ferrera et al. Despite this, the film's skewering of the patriarchy is spot-on, and Gosling turns out to be very good, stealing the film from the others. So it's a film I appreciate some parts of, and not others."
10/10,So a great little movie!,08 2023,"Honestly it's Ryan Gosling that made this movie for me and no not just the holy cow hot body! He's got such a great sense of humour so funny, him and Simu Liu just bounced off each other so well. It's a cute little fun movie if you just want a good laugh. Im still trying to understand Will Ferrells character though, it was very lame and I know he's supposed to be the antagonist but it really did not work for me."
6/10,Fun film whose script falls in on itself,07 2023,"Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable."
5/10,How is this movie so popular?,09 2023,"I realise that I am hardly the target audience of this movie, but even so, slogging trough the movie I am baffled as to what the appeal is? There must be something with all the money it made at the box office, right? I haven't read any other reviews yet so as not to spoil my own impression of the movie."
10/10,"Charming, fun and we all had a laugh.",08 2023,This movie is charming and many people I know who also watched this absolutely loved it and recommended it to me. The movie was hilarious and we all had a laugh. Everybody enjoyed this and actually had fun. At the end of the movie I was left with wanting more. This movie is at least in the top 5 as it was something I didn't expect to enjoy. I thought at first that it would just another mediocre movie but I was so wrong. Somehow everything about this movie put together worked so well. Ryan Gosling as Ken and Margot Robbie as Barbie both casts did a fantastic job. I would absolutely rewatch this as it was better than I expected. I highly recommend this. This Barbie movie got everybody wearing pink and it just did everything right. Honestly hats off to all casts & crew. I LOVED THIS!!!
6/10,Quite disappointing,07 2023,"Some friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles."
8/10,The movie event of 2023 lives up to the hype,08 2023,Let me start by saying it makes me happy to see a movie that isn't from the MCU or a sequel doing so well at the box office. There is still originality out there. This movie was very funny - the scene with Ken and the doctor in LA made me laugh very hard. It's weird and inventive. It has amazing choreography. So many talented people worked on this. I didn't grow up with Barbies so I'm sure a lot of the jokes went over my head. But it didn't hurt the enjoyment. It even manages to land a sentimental note at the end. I can definitely see this being a movie people see over and over.
6/10,Barbie land and reality,07 2023,Warning: Spoilers
8/10,Perceptive Take on the Barbie Mythos,08 2023,"There's a bold and consistent current of subversive humanism that runs through this infectious 2023 satire that director Greta Gerwig manages with stylish aplomb. She and partner Noah Baumbach have taken the Barbie mythos and built a multilayered narrative around the evolving nature of female identity and empowerment within the context of male dominance and the patriarchy that has defined sexual roles since the beginning of time. However, this is neither a treatise nor a polemic. It's still primarily a fun, free-wheeling farce with Day-Glo colors and silly choreography filling up the screen with zestful energy informed by a knowing perspective. Margot Robbie is ideally cast in the title role as she epitomizes stereotypical Barbie. Ryan Gosling gives Ken the right level of disempowerment as he gets taken in by the lure of toxic masculinity. The rest of the cast appear equally game. Gerwig has truly applied a perceptive twist to a candy-coated girlhood memory."
3/10,Did I watch the same movie as everyone else lol,07 2023,"While the production value, cinematography and acting were what you would expect from Margo Robbie and the supporting cast. I felt the movie fell short of not preaching to me and spreading a message of division rather than unity. Men and women cannot survive without each other but you'd never know it watching this movie. And me having my 13 year old daughter with me almost caused me to walk out of the theater. I kept on waiting for the writers to hit the direction of unity but it never came. After the movie my daughter brought up the message to me saying how she even noticed the weird agenda they're trying to push and said that is not a movie for the easily impressionable. Come to find out my daughter is better suited to take on the world that I thought she was. Proud day for me as a father."
8/10,Barbie is a beautiful love letter to womanhood.,08 2023,"Ever since I saw Lady Bird, I knew that I will love Greta and her style. It was so human and it spoke to me. So when Barbie was released, there was no doubt I will like this film-but not this much. In 114 minutes, Greta serves everything that she intended sending a beautiful positive message about womanhood. What it means to be human, what it means to live in this broken patriarchal system. The message is clear: to be human is to feel. This movie is funny. And as someone who is not a fan of American humor, that's a big one. But I laughed through the entire movie. I also shared a tear. I loved America's monologue about womanhood. I loved Dame Helen Mirren as a narrator-great choice. Margot is a star. Her Barbie is so authentic. She portrays comedy, as well as the emotional part of the character so well. That last scene was so good. Now I can't skip the star of the film, and that is Ryan Gossling. Ken was hilarious and I will quote him for the rest of my life. But also shows that Greta is sweet to men offering them compassion by showing them that they are enough as it is, they don't have to be more than that. Greta (and Noah), really made a beautiful love letter to womanhood by showing all the parts of it-please the scene with the old lady had my heart. Overall it's already classic and the movie, that will probably be one of my comfort movies."
6/10,Too overrated,07 2023,Warning: Spoilers
5/10,Preach Preach Preach,07 2023,Warning: Spoilers
10/10,This is a work of art.,08 2023,"This is a masterpiece with little to no short-cuts taken on everything that makes a film great - writing, wardrobe, make-up, choreography, set, acting etc. The cast is incredible. Margot Robbie fits the role of Barbie so well. Ryan Gosling (IMO) steals the show as Ken. I found his performance to be the stand-out. I always love seeing Issa Rae anywhere and I think she should be everywhere because she's so talented. I can't say enough about America Ferrera's monologue rant - the writing of that monologue was spectacular but Ferrera's delivery of it was one of my favourite scenes in this movie."
6/10,This Barbie is dissapointed.,08 2023,"Yes. Day by day it becomes more obvious that now the movies are made just because of the income they generate and nothing else. Ok, Barbie itself was not a creative idea, I know. And actually I didn't expect to see something unseen something unique in the first place, all in all it's ""Barbie""."
10/10,If imagination was a movie,08 2023,"This fulfills my childhood in a way I could never have anticipated. It reflects upon the flaws of our world and helps us all accept them by also accepting the imperfections in ourselves, like the fact that we are all a little dark and weird and crazy sometimes. And that doesn't make us any less men or women, or whater we are or want to be."
6/10,I had no expectations but was still underwhelmed,07 2023,Warning: Spoilers
10/10,The movie I didn't know I needed,07 2023,"This movie was everything I didn't know I needed. Was great to just escape from the world for 2 hours. Truly one of the most fun movies I've seen in a while. Fun from beginning to end. Margot was amazing and so was Ryan gosling. 100% recommend for everyone especially if you're a father to a daughter I think it has a Good Message Emmet for all, but especially girls to be what they want to be, and how they can truly be anything. The outfits and stages were amazing. It literally looks like you were at a toy store. I will be surprised if they don't win anything for costumes. I definitely will be buying this movie when it comes out."
6/10,Life is plastic!,08 2023,"Firstly, let's start with what was good about Barbie and move forward from there. The colourful palette, the set designs and costumes were perfect to bring you into a world that doesn't take itself too seriously. Barbie wasn't meant to get all philosophical and it wasn't necessarily supposed to provide us with a point. What it gave little girls is happiness and entertainment value. In the early stages of the movie it undoubtedly had potential to be a lot of fun with a comedic effect."
4/10,Overhyped and banal,09 2023,The film does not live up to the marketing. Its about as subtle as a steamroller and deep as a puddle. There must be primary school books with more depth and nuance than this film.
10/10,Barbie Fantastic!,07 2023,"The acting was amazing. Ryan Gosling should win an award for this. There was much laughter, tears, dancing, and conflict which all played out well. The acting resembled the characters as toys, down to every little detail. Phenomenal acting! The movie shows that Barbie and Ken, and the other characters have been completely thought out. The development was very deep and relates to the audience very well. The dialogue was great, too, as there was just enough of it, showing depth. Ties into the plot and theme thoroughly."
6/10,Did I just watch a 2hr Mattel advertisement?,08 2023,"BARBIE is a great example of hype over substance. It is laugh out loud at times and Gosling steals every scene he's in. The art direction is on point. What makes it tiresome is THE MESSAGE pummelled into the audience, but then were we expecting any subtly? Probably not. Ultimately my wife just thought, 'I already know this. I don't need to hear it. But maybe some women do?' I get her point. In the end it felt like we were being sold Barbie Dolls as some kind of icon of feminism. But seriously, they are a very poor example of female role models. Not surprisingly Mattel was one of the producers."
5/10,More of a marketing flick,07 2023,The brilliant marketing is what led us tonight to pay for the tickets. The brilliance ends there.
10/10,A wholesome delight!,07 2023,"Barbie is based on Mattel's iconic plastic dolls of the same name. Barbie(Margot Robbie) lives a very happy life in Barbie Land, along with her fellow Barbies, Ken(Ryan Gosling) & his fellow Kens. Suddenly, Barbie goes through an existential crisis that makes her question Barbie Land & the truth of her existence."
7/10,I'm a middle aged man with daughters. I liked it.,07 2023,I suspect this is a personal thing. Who you are defines what you may get from this.
9/10,Big hype and the result is a mirror of today's society,08 2023,"Margot Robbie had a vision, and she was the driving force to get the Barbie movie produced by none other than world-class director Greta Gerwig."
10/10,Barbie existentialism.,07 2023,"Barbie, the doll that destroyed stereotypes and taboos to later generate new ones and destroy them again, arrives at the cinema for the first time and does so masterfully. ""Barbie"" is a film that portrays misogyny from the perspective of the famous doll, the script is a biting criticism of patriarchy, internal problems within feminism, family and social relationships, consumerism and existentialism, all full of humor, in some scenes with a lot of black humor and the result is excellent, capturing what it wants to convey to the public. The cinematography by Rodrigo Prieto is magnificent and together with the production design they bring a fictional country full of fantastic and pink plastics. The soundtrack is tremendous, with a list of songs wisely chosen (with some exceptions). The cast is tremendous, Margot Robbie's performance is realistic and sentimental, proving to be the perfect Barbie in all aspects. Ryan Gosling plays Ken with humor and also gives him perfect dramatic nuances. America Ferrara as a working mother achieves a performance to remember, especially for her powerful monologue. Kate McKinnon gives a highly comic performance and an endearing character of a very unusual Barbie. Rhea Perlman pulls off an incredible performance wittily balancing comedy and drama. Ann Roth in a special participation of a single dialogue and a smile achieved a sublime and unforgettable performance. Helen Mirren with a voice acting as The Narrator describes everything with feeling and passion taking advantage of her imposing voice. Greta Gerwig's work as a director is genius, she manages to capture the ideas of the script, gives it her own style and pays homage to movie classics. ""Barbie"" is the movie event of the year, a rightfully earned title for this current classic."
4/10,Plastic in the worst way possible,09 2023,"It took me quite some time to decipher this movie. I felt like I was missing something, that there was more to it than first apparent. The acting, the dialogue, the sets, the costume: technically it is polished and purposeful; yet I was utterly unable to engage with it. And finally it hit me: that is because it is actually a commercial."
10/10,A beautiful Barbie movie in 2023!!!,08 2023,"Wow!!! Barbie really brought my attention in the cinemas! It made me laugh and cry at the same time. I was literally enjoying the best moments in the film, and it really is a beautiful movie, and Barbie was made for kids, but there are also not meant for kids."
7/10,Its just Barbie and Ken,08 2023,Warning: Spoilers
5/10,"""Barbie"" is fun and visually beautiful, but unfortunately Barbie doll was dragged into the cultural war, used as a puppet by political militancy",07 2023,Warning: Spoilers
10/10,Great philosophical film to think about and laugh about.,08 2023,This is.... Was.... Admirably!
6/10,"Colourful, but confusing",09 2023,"Who exactly was this film aimed at? Most of the audience when I saw it were adolescents, and there were numerous (perhaps too many) colourful song and dance scenes, which might have appealed to younger viewers, but also a lot of philosophical debate about gender roles and inter-relationships that would have gone over their heads, particularly as these were delivered at a frantic, garbled pace. There were some good comic scenes, and stand-out performances by Margot Robbie and Ryan Gosling, but as the film wore on, it all became a bit preachy. The message seemed to be about finding self-fulfilment rather than romance. Okay, not every film, or every life, has to end in a fairy-tale romantic coupling, but the emphasis on individual fulfilment within the support structure of the sisterhood seems a little bleak. It also makes nonsense of the final confusing pay-off line of the film."
10/10,Everyone watch this,07 2023,Barbie
7/10,I'll beach you off so hard,07 2023,I had no idea what to expect going into Barbie. I had no interest in seeing a movie about Barbie but was immediately sold on the highly talented Margot Robbie and the awesome Ryan Gosling. But I was still nervous that the comedy would be aimed strictly at women and would be difficult for a guy to enjoy.
10/10,Mind blowing,08 2023,Warning: Spoilers
6/10,Great if not ham-fisted message but a sloppy movie.,07 2023,Warning: Spoilers
4/10,Not written well enough,09 2023,Warning: Spoilers
10/10,Barbie is a masterpiece and I'm not joking,07 2023,Warning: Spoilers
6/10,Pinkland,07 2023,"This movie is an excellent marketing product. Cinemas were full, Even in Baku city. It was very difficult to find tickets. People dressed in pink clothes were coming to this event. I wore my black shirt and went. I think the movie was not good. I fell asleep in some scenes. There were lots of boring speeches. The movie was fun, that's obvious, but I didn't laugh much. This movie became one of the most different and crazy events of our day. I don't think it has any value as a movie. It was indeed a bad movie, but as an event it was fun. I don't regret. There were some references. I liked most of them. The acting wasn't bad, I think it was good. I was getting bored again near the end of the movie. Anyway, I think it was a crazy and fun event, but it was a bad movie."
1/10,Not for me.,09 2023,Barbie (Margot Robbie) travels from Barbieland to the real world where she learns to her surprise that men are in control...
8/10,"Life in plastic, it's fantastic!",07 2023,Warning: Spoilers
7/10,An enjoyable fun filled fantasy,08 2023,"Director Greta Gerwig takes us on a fun ride in the life of stereotypical Barbie ( Margot Robbie) as she navigates through various aspects of her life. She is joined by Ken ( Ryan Gosling) in this fantasy of pink decor, colourful costumes and the kitsch sets in a dream like atmosphere . The movie has exquisite cinematography ,melodious songs and attractive dances. There is an innocent quirkiness in the characters and the intermittent light humour keeps one amused. There is fun and fantasy all the way in all colourful scenes. The rainbows in the background add to the beauty. The cinematography has carefully framed fabulous visuals which will appeal to all audiences. The highlight of course is the superb acting of Margot Robbie who excells in exuding the innocent charm of the much loved character. She is definitely a refined artist who gets under the skin of the character. Ryan Gosling also does well as Ken showing his versatility. His one liners are said with his typical charm which will please his fans. The special effects help to create the dream like ambience and are pleasing to watch. I forsee the movie getting nominated for best actress ( Margot Robbie ) and for production design, costume design , make up and cinematography."
10/10,"Laugh, Reflect, Repeat: Exploring the Wonders of 'Barbie'",07 2023,"Oh my goodness, where do I even begin with ""Barbie"" (2023)? This film is an absolute delight and a true masterpiece that will leave you in awe. Directed by the incredibly talented Greta Gerwig and starring the stunning Margot Robbie as the iconic doll herself, ""Barbie"" is a cinematic experience like no other."
